Date,open,high,low,close
2020-08-07,11773.8900,11920.0000,11350.0000,11606.5200
2020-08-10,11688.2500,12086.2200,11470.0100,11899.7300
2020-08-11,11899.8700,11943.0000,11120.0000,11388.5300
2020-08-12,11388.8800,11625.0000,11148.5400,11566.4500
2020-08-13,11566.4400,11802.0900,11274.1400,11795.9500
2020-08-14,11795.9500,11865.9700,11651.2400,11779.0000
2020-08-17,11918.8400,12486.6100,11775.0000,12304.2600
2020-08-18,12303.9800,12400.0000,11825.0000,11950.0000
2020-08-19,11954.2200,12024.8300,11569.0000,11758.8700
2020-08-20,11758.8700,11892.1600,11671.4800,11864.2600
2020-08-21,11864.2600,11884.9900,11480.0000,11529.2200
2020-08-24,11650.0100,11823.6200,11592.9100,11753.8500
2020-08-25,11753.2600,11769.7600,11102.7300,11324.9200
2020-08-26,11324.9200,11539.9900,11254.8900,11463.2700
2020-08-27,11463.2700,11597.9200,11125.0000,11330.0600
2020-08-28,11330.5600,11550.5100,11282.0900,11535.0000
2020-08-31,11716.0000,11784.6600,11576.0000,11655.0000
2020-09-01,11655.0000,12086.0000,11525.0900,11924.2200
2020-09-02,11924.2200,11950.0000,11160.0000,11395.4800
2020-09-03,11395.4900,11474.9900,10005.0000,10172.5200
2020-09-04,10172.1300,10638.3400,9895.2200,10500.0500
2020-09-07,10258.6700,10410.9000,9880.0000,10375.0000
2020-09-08,10375.0000,10440.9100,9819.8300,10125.6900
2020-09-09,10126.4100,10349.9900,9983.3400,10224.5600
2020-09-10,10224.5600,10489.0000,10216.4100,10343.2300
2020-09-11,10344.2400,10411.4400,10200.0000,10394.4100
2020-09-14,10336.7600,10760.6200,10253.0000,10679.9500
2020-09-15,10678.4100,10950.0000,10613.1800,10783.7500
2020-09-16,10783.3600,11099.9500,10662.0200,10959.6100
2020-09-17,10957.0600,11044.0000,10735.5500,10943.6100
2020-09-18,10943.9900,11039.8800,10813.0000,10937.5200
2020-09-21,10920.9400,10994.0000,10180.0000,10416.8200
2020-09-22,10416.8300,10576.8200,10355.0000,10531.1300
2020-09-23,10531.1300,10541.2500,10135.2200,10235.1000
2020-09-24,10237.4100,10795.8700,10192.5600,10740.0100
2020-09-25,10740.0000,10765.0700,10551.0000,10690.5300
2020-09-28,10779.0000,10956.1100,10621.2200,10695.5500
2020-09-29,10694.9000,10860.7900,10636.1300,10840.7300
2020-09-30,10839.9800,10847.0000,10657.0400,10779.6300
2020-10-09,10932.4400,11111.1100,10834.4900,11057.0700
2020-10-12,11374.0100,11736.0200,11187.6000,11535.4600
2020-10-13,11535.4600,11561.4500,11312.5900,11428.2200
2020-10-14,11428.2200,11556.3700,11290.8300,11427.7000
2020-10-15,11427.7000,11641.3800,11263.1500,11509.3400
2020-10-16,11509.3100,11550.0100,11201.0000,11328.9500
2020-10-19,11514.2000,11833.0000,11416.0400,11760.4500
2020-10-20,11760.4500,12050.0000,11685.0000,11923.8300
2020-10-21,11923.0700,13250.0400,11900.0100,12808.0000
2020-10-22,12808.0100,13200.0000,12698.0200,12987.0200
2020-10-23,12988.2000,13037.0000,12722.7200,12937.0900
2020-10-26,13045.0200,13250.0000,12785.0000,13068.7900
2020-10-27,13068.7900,13793.7200,13061.2800,13698.1800
2020-10-28,13740.8500,13863.8700,12891.5700,13281.0500
2020-10-29,13281.0600,13650.0000,12976.2900,13460.0000
2020-10-30,13460.0000,13687.8200,13131.3100,13571.5100
2020-11-02,13771.7000,13840.0000,13215.0000,13563.2200
2020-11-03,13563.2200,14081.4500,13290.0000,14035.8000
2020-11-04,14034.3500,14273.6000,13530.0100,14161.4800
2020-11-05,14165.8600,15775.0000,14115.0000,15608.2100
2020-11-06,15608.0600,15977.6700,15190.3600,15599.9500
2020-11-09,15482.8900,15856.9000,14817.1400,15342.2500
2020-11-10,15342.1000,15481.0600,15090.0800,15315.0300
2020-11-11,15315.4600,16000.0000,15293.0400,15705.7900
2020-11-12,15705.7900,16370.8900,15446.8200,16310.8100
2020-11-13,16310.8100,16491.9200,15975.0000,16339.5600
2020-11-16,15970.0000,16892.0000,15879.0000,16726.6400
2020-11-17,16726.4900,17880.0000,16575.4200,17679.3600
2020-11-18,17679.8600,18488.0000,17205.0200,17782.9100
2020-11-19,17790.1800,18193.2900,17356.0000,17821.5800
2020-11-20,17821.9200,18830.3000,17764.7600,18675.2500
2020-11-23,18437.1800,18777.7700,18001.0000,18384.8200
2020-11-24,18384.8200,19469.0000,18052.0200,19172.8400
2020-11-25,19172.9000,19500.0000,18502.0000,18721.9300
2020-11-26,18717.2400,18915.4800,16200.0000,17170.0000
2020-11-27,17169.9900,17475.0000,16400.0000,17153.9500
2020-11-30,18202.0200,19873.2300,18201.4700,19713.9400
2020-12-01,19713.9400,19915.1400,18109.0000,18782.9700
2020-12-02,18778.1800,19340.0000,18335.0000,19225.6300
2020-12-03,19222.4500,19625.6400,18885.0000,19448.6400
2020-12-04,19446.4300,19546.4600,18576.0500,18658.1000
2020-12-07,19375.6000,19432.5700,18901.0000,19177.7100
2020-12-08,19177.0800,19299.5100,18200.0000,18316.2200
2020-12-09,18316.2200,18647.3300,17639.0000,18546.5500
2020-12-10,18546.5500,18556.4200,17905.0000,18253.4400
2020-12-11,18257.1800,18293.0800,17580.0000,18042.1500
2020-12-14,19166.6500,19349.9800,18967.6800,19272.3700
2020-12-15,19272.3700,19565.0000,19051.2700,19444.6000
2020-12-16,19443.1900,21569.9400,19300.0000,21359.6500
2020-12-17,21360.5000,23776.9400,21252.0100,22826.4800
2020-12-18,22826.3700,23280.0000,22329.0000,23137.7600
2020-12-21,23476.5100,24118.7500,21913.8400,22729.4000
2020-12-22,22729.4000,23839.7800,22380.0500,23823.2700
2020-12-23,23824.1300,24090.0000,22600.0000,23228.3500
2020-12-24,23226.1800,23785.0000,22712.8900,23717.9600
2020-12-25,23718.6100,24770.9500,23416.0000,24704.7100
2020-12-28,26255.1600,27477.0000,26086.1900,27040.3600
2020-12-29,27039.3900,27396.7700,25833.7300,27366.3500
2020-12-30,27366.3500,29018.2600,27311.7300,28897.4200
2020-12-31,28897.4200,29321.9000,28000.0000,28990.0800
2021-01-04,33082.8400,33666.9900,27678.0000,32019.9900
2021-01-05,32020.2200,34499.6700,29891.1300,34030.6400
2021-01-06,34043.9100,37000.0000,33352.5400,36859.2600
2021-01-07,36859.2600,40425.0000,36200.0000,39505.5600
2021-01-08,39510.5500,41986.3700,36565.0800,40665.1500
2021-01-11,38168.8900,38273.8800,30100.0000,35452.5900
2021-01-12,35456.8900,36604.5100,32500.0000,34038.9800
2021-01-13,34035.5300,37888.0000,32309.0400,37393.6600
2021-01-14,37393.6700,40127.6600,36751.1100,39125.1400
2021-01-15,39123.0500,39697.0000,34298.9300,36754.6700
2021-01-18,35820.0100,37402.0000,34736.4600,36624.2300
2021-01-19,36624.2300,37857.0000,35895.1100,35917.2800
2021-01-20,35921.9100,36415.3400,33387.0100,35503.0900
2021-01-21,35498.8500,35628.2400,30011.0000,30855.9500
2021-01-22,30855.9000,33867.0000,28732.0000,32984.9300
2021-01-25,32293.1800,34888.0000,31920.8000,32261.8700
2021-01-26,32260.5200,32960.3700,30830.0000,32510.8200
